domain	intent	parallel	pattern
Fitbit	ShowStepsOnDate	-	the steps i have taken on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	the count of steps on FITBIT.SLOT.DATE from fitbit
Fitbit	ShowStepsOnDate	-	the step count on FITBIT.SLOT.DATE from fitbit
Fitbit	ShowStepsOnDate	-	get my fitbit steps on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	get the number of steps i took on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	get the number of steps from fitbit on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	get my fitbit step count on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	get the fitbit pedometer on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	get the fitbit step counter on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	get the steps i have taken on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	get the count of steps on FITBIT.SLOT.DATE from fitbit
Fitbit	ShowStepsOnDate	-	get the step count on FITBIT.SLOT.DATE from fitbit
Fitbit	ShowStepsOnDate	-	find my fitbit steps on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	find the number of steps i took on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	find the number of steps from fitbit on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	find my fitbit step count on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	find the fitbit pedometer on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	find the fitbit step counter on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	find the steps i have taken on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	find the count of steps on FITBIT.SLOT.DATE from fitbit
Fitbit	ShowStepsOnDate	-	find the step count on FITBIT.SLOT.DATE from fitbit
Fitbit	ShowStepsOnDate	-	show my fitbit steps on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	show the number of steps i took on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	show the number of steps from fitbit on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	show my fitbit step count on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	show the fitbit pedometer on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	show the fitbit step counter on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	show the steps i have taken on FITBIT.SLOT.DATE
Fitbit	ShowStepsOnDate	-	show the count of steps on FITBIT.SLOT.DATE from fitbit
Fitbit	ShowStepsOnDate	-	show the step count on FITBIT.SLOT.DATE from fitbit
Fitbit	ShowBMI	-	my body measurements from fitbit
Fitbit	ShowBMI	-	my bmi from fitbit
Fitbit	ShowBMI	-	my weight from fitbit
Fitbit	ShowBMI	-	get my body measurements from fitbit
Fitbit	ShowBMI	-	get my bmi from fitbit
Fitbit	ShowBMI	-	get my weight from fitbit
Fitbit	ShowBMI	-	find my body measurements from fitbit
Fitbit	ShowBMI	-	find my bmi from fitbit
Fitbit	ShowBMI	-	find my weight from fitbit
Fitbit	ShowBMI	-	show my body measurements from fitbit
Fitbit	ShowBMI	-	show my bmi from fitbit
Fitbit	ShowBMI	-	show my weight from fitbit
Fitbit	AddWeight	-	log my weight on fitbit
Fitbit	AddWeight	-	record my weight on fitbit
Fitbit	AddWeight	-	make note of my weight on fitbit
Fitbit	AddWeight	-	make a note of my weight on fitbit
Fitbit	AddWeight	-	write my weight on fitbit
Fitbit	AddWeight	-	write down my weight on fitbit
Fitbit	NotifyOnWeight	-	notify me if my weight goes over FITBIT.SLOT.WEIGHT
Fitbit	NotifyOnWeight	-	notify me if my weight goes higher than FITBIT.SLOT.WEIGHT
Fitbit	NotifyOnWeight	-	notify me if my weight is over FITBIT.SLOT.WEIGHT
Fitbit	NotifyOnWeight	-	notify me if my weight is higher than FITBIT.SLOT.WEIGHT
Fitbit	NotifyOnWeight	-	notify me when my weight goes over FITBIT.SLOT.WEIGHT
Fitbit	NotifyOnWeight	-	notify me when my weight goes higher than FITBIT.SLOT.WEIGHT
Fitbit	NotifyOnWeight	-	notify me when my weight is over FITBIT.SLOT.WEIGHT
Fitbit	NotifyOnWeight	-	notify me when my weight is higher than FITBIT.SLOT.WEIGHT
Fitbit	NotifyOnWeight	-	tell me if my weight goes over FITBIT.SLOT.WEIGHT
Fitbit	NotifyOnWeight	-	tell me if my weight goes higher than FITBIT.SLOT.WEIGHT
Fitbit	NotifyOnWeight	-	tell me if my weight is over FITBIT.SLOT.WEIGHT
Fitbit	NotifyOnWeight	-	tell me if my weight is higher than FITBIT.SLOT.WEIGHT
Fitbit	NotifyOnWeight	-	tell me when my weight goes over FITBIT.SLOT.WEIGHT
Fitbit	NotifyOnWeight	-	tell me when my weight goes higher than FITBIT.SLOT.WEIGHT
Fitbit	NotifyOnWeight	-	tell me when my weight is over FITBIT.SLOT.WEIGHT
Fitbit	NotifyOnWeight	-	tell me when my weight is higher than FITBIT.SLOT.WEIGHT
