domain	intent	utterance	bio
Fitbit	ShowStepsOnDate	dame el pedómetro de fitbit el 15.02.2020	o o o o o o b-date
Fitbit	ShowStepsOnDate	dame el pedómetro de fitbit el 15 de mayo	o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	dame los pasos que hice el 15.02.2020	o o o o o o b-date
Fitbit	ShowStepsOnDate	dame los pasos que hice el 15 de mayo	o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	dame los pasos que hice el 28.06	o o o o o o b-date
Fitbit	ShowStepsOnDate	dame mi número de pasos de fitbit el 1 de enero	o o o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	dame mi número de pasos de fitbit el 15.02.2020	o o o o o o o o b-date
Fitbit	ShowStepsOnDate	dame mi número de pasos de fitbit el 15 de mayo	o o o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	dame mi número de pasos de fitbit el 28.06	o o o o o o o o b-date
Fitbit	ShowStepsOnDate	dame mi número de pasos el 1 de enero	o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	dame mi número de pasos el 15.02.2020	o o o o o o b-date
Fitbit	ShowStepsOnDate	dame mi número de pasos el 15 de mayo	o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	dame mi número de pasos el 28.06	o o o o o o b-date
Fitbit	ShowStepsOnDate	dame mis pasos de fitbit el 1 de enero	o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	dame mis pasos de fitbit el 15.02.2020	o o o o o o b-date
Fitbit	ShowStepsOnDate	dame mis pasos de fitbit el 15 de mayo	o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	el contador de pasos de fitbit el 15.02.2020	o o o o o o o b-date
Fitbit	ShowStepsOnDate	el contador de pasos de fitbit el 15 de mayo	o o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	el contador de pasos de fitbit el 28.06	o o o o o o o b-date
Fitbit	ShowStepsOnDate	el número de pasos de fitbit que hice el 1 de enero	o o o o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	el número de pasos de fitbit que hice el 15.02.2020	o o o o o o o o o b-date
Fitbit	ShowStepsOnDate	el número de pasos de fitbit que hice el 15 de mayo	o o o o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	el número de pasos de fitbit que hice el 28.06	o o o o o o o o o b-date
Fitbit	ShowStepsOnDate	el número de pasos el 1 de enero de fitbit	o o o o o b-date i-date i-date o o
Fitbit	ShowStepsOnDate	el número de pasos el 15.02.2020 de fitbit	o o o o o b-date o o
Fitbit	ShowStepsOnDate	el número de pasos el 15 de mayo de fitbit	o o o o o b-date i-date i-date o o
Fitbit	ShowStepsOnDate	el número de pasos el 28.06 de fitbit	o o o o o b-date o o
Fitbit	ShowStepsOnDate	el número de pasos que hice el 1 de enero	o o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	el número de pasos que hice el 15.02.2020	o o o o o o o b-date
Fitbit	ShowStepsOnDate	el número de pasos que hice el 15 de mayo	o o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	el número de pasos que hice el 28.06	o o o o o o o b-date
Fitbit	ShowStepsOnDate	el pedómetro de fitbit el 1 de enero	o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	el pedómetro de fitbit el 15.02.2020	o o o o o b-date
Fitbit	ShowStepsOnDate	el pedómetro de fitbit el 15 de mayo	o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	el pedómetro de fitbit el 28.06	o o o o o b-date
Fitbit	ShowStepsOnDate	los pasos que hice el 1 de enero	o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	los pasos que hice el 15.02.2020	o o o o o b-date
Fitbit	ShowStepsOnDate	los pasos que hice el 15 de mayo	o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	los pasos que hice el 28.06	o o o o o b-date
Fitbit	ShowStepsOnDate	mi número de pasos de fitbit el 1 de enero	o o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	mi número de pasos de fitbit el 15.02.2020	o o o o o o o b-date
Fitbit	ShowStepsOnDate	mi número de pasos de fitbit el 15 de mayo	o o o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	mi número de pasos de fitbit el 28.06	o o o o o o o b-date
Fitbit	ShowStepsOnDate	mi número de pasos el 1 de enero	o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	mi número de pasos el 15.02.2020	o o o o o b-date
Fitbit	ShowStepsOnDate	mi número de pasos el 15 de mayo	o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	mis pasos de fitbit el 15.02.2020	o o o o o b-date
Fitbit	ShowStepsOnDate	mis pasos de fitbit el 15 de mayo	o o o o o b-date i-date i-date
Fitbit	ShowStepsOnDate	mis pasos de fitbit el 28.06	o o o o o b-date
Fitbit	ShowBMI	mis medidas de cuerpo de fitbit	o o o o o o
Fitbit	ShowBMI	mi bmi de fitbit	o o o o
Fitbit	ShowBMI	mi peso de fitbit	o o o o
Fitbit	ShowBMI	dame mis medidas de cuerpo de fitbit	o o o o o o o
Fitbit	ShowBMI	dame mi bmi de fitbit	o o o o o
Fitbit	AddWeight	registra mi peso de fitbit	o o o o o
Fitbit	AddWeight	anota mi peso de fitbit	o o o o o
Fitbit	NotifyOnWeight	dime si mi peso supera 67 kg	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	dime si mi peso supera 82 kg	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	dime si mi peso supera 66 kg	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	dime si mi peso supera 100 kg	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	dime si mi peso supera 65 kg	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	dime si mi peso supera 62 kg	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	dime si mi peso supera 70 kg	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	dime si mi peso supera 200 kilos	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	dime si mi peso supera 80 kg	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	dime si mi peso supera 64 kg	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	notifícame si mi peso supera 60 kg	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	notifícame si mi peso supera 61 kg	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	notifícame si mi peso supera 99 kilos	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	notifícame si mi peso supera 72 kg	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	notifícame si mi peso supera 57 kilos	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	notifícame si mi peso supera 67 kg	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	notifícame si mi peso supera 82 kg	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	notifícame si mi peso supera 66 kg	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	notifícame si mi peso supera 100 kg	o o o o o b-weight i-weight
Fitbit	NotifyOnWeight	notifícame si mi peso supera 65 kg	o o o o o b-weight i-weight
