domain	intent	pattern	bio
Calendar	NotifyOnEventInLocation	powiadom mnie, gdy rozpocznie się spotkanie w moim kalendarzu w lokalizacji kościele	o o o o o o o o o o o b-location
Calendar	NotifyOnEventInLocation	powiadom mnie, gdy rozpocznie się spotkanie w moim kalendarzu w lokalizacji sali 202	o o o o o o o o o o o b-location i-location
Calendar	NotifyOnEventInLocation	powiadom mnie, gdy rozpocznie się spotkanie w moim kalendarzu w lokalizacji klubie hydrozagadka	o o o o o o o o o o o b-location i-location
Calendar	NotifyOnEventInLocation	powiadom mnie, gdy rozpocznie się spotkanie w moim kalendarzu w lokalizacji restauracji szwejk	o o o o o o o o o o o b-location i-location
Calendar	NotifyOnEventInLocation	powiadom mnie, gdy rozpocznie się wydarzenie w moim kalendarzu w lokalizacji domu piotra	o o o o o o o o o o o b-location i-location
Calendar	NotifyOnEventInLocation	powiadom mnie, gdy rozpocznie się wydarzenie w moim kalendarzu w lokalizacji klubie lustra	o o o o o o o o o o o b-location i-location
Calendar	NotifyOnEventInLocation	powiadom mnie, gdy rozpocznie się wydarzenie w moim kalendarzu w lokalizacji domu kultury	o o o o o o o o o o o b-location i-location
Calendar	NotifyOnEventInLocation	powiadom mnie, gdy rozpocznie się wydarzenie w moim kalendarzu w lokalizacji restauracji concept	o o o o o o o o o o o b-location i-location
Calendar	NotifyOnEventInLocation	powiadom mnie, gdy rozpocznie się wydarzenie w moim kalendarzu w lokalizacji domu waldemara	o o o o o o o o o o o b-location i-location
Calendar	NotifyOnEventInLocation	powiadom mnie, gdy rozpocznie się spotkanie w moim kalendarzu w lokalizacji klubie sfinks	o o o o o o o o o o o b-location i-location
Calendar	NotifyOnEventInLocation	powiadom mnie, gdy rozpocznie się spotkanie w moim kalendarzu w lokalizacji teatrze narodowym	o o o o o o o o o o o b-location i-location
Calendar	NotifyOnEventInLocation	powiadom mnie, gdy rozpocznie się spotkanie w moim kalendarzu w lokalizacji galerii	o o o o o o o o o o o b-location
Contacts	EditContactWithName	edytuj mój kontakt jacek chruszczewski	o o o b-name i-name
Contacts	EditContactWithName	edytuj mój kontakt alfreda czech	o o o b-name i-name
Contacts	EditContactWithName	edytuj mój kontakt norbert	o o o b-name
Contacts	EditContactWithName	edytuj mój kontakt małgorzata	o o o b-name
Contacts	EditContactWithName	edytuj mój kontakt mariusz mazur	o o o b-name i-name
Contacts	EditContactWithName	otwórz mój kontakt wiktor do edycji	o o o b-name o o
Contacts	EditContactWithName	otwórz mój kontakt grzegorz do edycji	o o o b-name o o
Contacts	EditContactWithName	otwórz mój kontakt tata do edycji	o o o b-name o o
Contacts	EditContactWithNumber	zmień nazwę mojego kontaktu o numerze 671 304 866	o o o o o o b-phone_number i-phone_number i-phone_number
Contacts	EditContactWithNumber	zmień nazwę mojego kontaktu o numerze 520 390 563	o o o o o o b-phone_number i-phone_number i-phone_number
Contacts	EditContactWithNumber	zmień nazwę mojego kontaktu o numerze 33 389 29 68	o o o o o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	EditContactWithNumber	zmień nazwę mojego kontaktu o numerze 18 739 39 97	o o o o o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	EditContactWithNumber	zmień nazwę mojego kontaktu o numerze +48 74 365 20 28	o o o o o o b-phone_number i-phone_number i-phone_number i-phone_number i-phone_number
Contacts	EditNumberInContactWithName	zmień numer mojego kontaktu marta	o o o o b-name
Contacts	EditNumberInContactWithName	zmień numer mojego kontaktu joachim kwiecień	o o o o b-name i-name
Contacts	EditNumberInContactWithName	zmień numer mojego kontaktu józef	o o o o b-name
Contacts	EditNumberInContactWithName	zmień numer mojego kontaktu jakub lange	o o o o b-name i-name
Contacts	EditNumberInContactWithName	zmień numer mojego kontaktu oskar kozłowski	o o o o b-name i-name
Contacts	EditNumberInContactWithNameToNumberAndToType	ustaw numer 756 996 702 w kontakcie babcia ewelina jako domowy	o o b-phone_number i-phone_number i-phone_number o o b-name i-name o b-phone_type
Contacts	EditNumberInContactWithNameToNumberAndToType	ustaw numer 63 265 32 65 w kontakcie edward jako pracowy	o o b-phone_number i-phone_number i-phone_number i-phone_number o o b-name o b-phone_type
Contacts	EditNumberInContactWithNameToNumberAndToType	ustaw numer 68 854 33 78 w kontakcie skarb jako komórkowy	o o b-phone_number i-phone_number i-phone_number i-phone_number o o b-name o b-phone_type
Contacts	EditNumberInContactWithNameToNumberAndToType	ustaw numer 84 328 53 59 w kontakcie seweryn fogiel jako stacjonarny	o o b-phone_number i-phone_number i-phone_number i-phone_number o o b-name i-name o b-phone_type
Contacts	EditNumberInContactWithNameToNumberAndToType	ustaw numer 777 794 969 w kontakcie dziadek eugeniusz jako domowy	o o b-phone_number i-phone_number i-phone_number o o b-name i-name o b-phone_type
Contacts	ShowContactWithEmail	wyświetl moje kontakty google z e-mailem bartosz.majewski@gazeta.pl	o o o o o o b-email
Contacts	ShowContactWithEmail	wyświetl moje kontakty google z e-mailem radosław.kędzierski@gazeta.pl	o o o o o o b-email
Contacts	ShowContactWithEmail	wyświetl moje kontakty google z e-mailem benedykt11208@onet.pl	o o o o o o b-email
Contacts	ShowContactWithEmail	wyświetl moje kontakty google z e-mailem mariola28364@o2.pl	o o o o o o b-email
Contacts	ShowContactWithEmail	wyświetl moje kontakty google z e-mailem stanisław.towarek@wpl.pl	o o o o o o b-email
Contacts	ShowContactWithEmail	wyświetl moje kontakty google z e-mailem janusz32171@wpl.pl	o o o o o o b-email
Contacts	ShowContactWithEmail	otwórz moje kontakty Google za pomocą e-maila liliana11637@wpl.pl	o o o o o o o b-email
Contacts	ShowContactWithEmail	otwórz moje kontakty Google za pomocą e-maila alfons25866@gazeta.pl	o o o o o o o b-email
Contacts	ShowContactWithEmail	otwórz moje kontakty Google za pomocą e-maila florian342@gazeta.pl	o o o o o o o b-email
Contacts	ShowContactWithEmail	otwórz moje kontakty Google za pomocą e-maila zenobia.skiba@interia.pl	o o o o o o o b-email
Contacts	ShowContactWithEmail	otwórz moje kontakty Google za pomocą e-maila zenona.wyrzykowski@o2.pl	o o o o o o o b-email
Contacts	ShowContactWithEmail	otwórz moje kontakty Google za pomocą e-maila rafał.mazur@onet.pl	o o o o o o o b-email
Contacts	ShowContactWithEmail	pokaż moje kontakty google za pomocą e-maila bartłomiej3258@wpl.pl	o o o o o o o b-email
Contacts	ShowContactWithEmail	pokaż moje kontakty google za pomocą e-maila julianna.jankowski@gazeta.pl	o o o o o o o b-email
Contacts	ShowContactWithEmail	pokaż moje kontakty google za pomocą e-maila alfreda.majewski@onet.pl	o o o o o o o b-email
Contacts	ShowContactWithEmail	pokaż moje kontakty google za pomocą e-maila albert.topolski@interia.pl	o o o o o o o b-email
Contacts	ShowContactWithEmail	pokaż moje kontakty google za pomocą e-maila rozalia29474@o2.pl	o o o o o o o b-email
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go waldemar i dodaj numer 778 345 580	o o o o o o b-name o o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go aneta szewczyk i dodaj numer 77 950 98 17	o o o o o o b-name i-name o o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go rozalia i dodaj numer 48 985 94 67	o o o o o o b-name o o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go maja i dodaj numer 68 277 87 18	o o o o o o b-name o o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go kuba wesołowski i dodaj numer 573 571 750	o o o o o o b-name i-name o o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go olga i dodaj numer 68 910 27 25	o o o o o o b-name o o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go brunon szulc i dodaj numer 657 296 506 jako pracowy	o o o o o o b-name i-name o o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go marzenna pasternak i dodaj numer 756 130 895 jako komórkowy	o o o o o o b-name i-name o o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go mama i dodaj numer 548 318 510 jako stacjonarny	o o o o o o b-name o o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go lidia szymański i dodaj numer 594 144 898 jako domowy	o o o o o o b-name i-name o o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go mirosława lewicki i dodaj numer 77 814 67 33 jako pracowy	o o o o o o b-name i-name o o o b-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go mania i dodaj numer +48 29 872 27 46 jako komórkowy	o o o o o o b-name o o o b-phone_number i-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go laura wiśniewski i nadaj mu numer 15 401 22 91	o o o o o o b-name i-name o o o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go anatol i nadaj mu numer +48 22 529 47 38	o o o o o o b-name o o o o b-phone_number i-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go bolesław i nadaj mu numer 24 437 14 63	o o o o o o b-name o o o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go krystian i nadaj mu numer 526 273 765	o o o o o o b-name o o o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go fryderyk i nadaj mu numer 775 231 918	o o o o o o b-name o o o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go rudolf i nadaj mu numer 568 759 156	o o o o o o b-name o o o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go sandra i nadaj mu numer 82 546 33 53 jako stacjonarny	o o o o o o b-name o o o o b-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go kazimierz i nadaj mu numer +48 13 759 37 99 jako domowy	o o o o o o b-name o o o o b-phone_number i-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go marzena i nadaj mu numer 583 417 380 jako pracowy	o o o o o o b-name o o o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go borys i nadaj mu numer 545 969 829 jako komórkowy	o o o o o o b-name o o o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go otylia i nadaj mu numer 701 853 191 jako stacjonarny	o o o o o o b-name o o o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go adela i nadaj mu numer 13 721 41 95 jako domowy	o o o o o o b-name o o o o b-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go kajetan górski z numerem 52 680 46 98	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go hanna z numerem 518 164 740	o o o o o o b-name o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go krzysztof lewandowski z numerem 576 645 717	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go tobiasz z numerem 768 632 816	o o o o o o b-name o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go leszek z numerem +48 15 541 94 59	o o o o o o b-name o o b-phone_number i-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go dagmara kaczmarek z numerem 722 225 771	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go hieronim sikora z numerem 604 710 911 jako pracowy	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go alfred z numerem 677 602 241 jako komórkowy	o o o o o o b-name o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go ania z numerem 76 979 49 54 jako stacjonarny	o o o o o o b-name o o b-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go henryk z numerem +48 703 872 830 jako domowy	o o o o o o b-name o o b-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go wioletta z numerem 77 136 77 12 jako pracowy	o o o o o o b-name o o b-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go kasia z numerem 55 830 75 34 jako komórkowy	o o o o o o b-name o o b-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go konrad mazur o numerze 796 616 333	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go anatol kwiatkowski o numerze 610 360 278	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go leopold o numerze 89 740 89 43	o o o o o o b-name o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go michał o numerze 81 267 18 35	o o o o o o b-name o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go ewelina o numerze 639 678 624	o o o o o o b-name o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go wanda o numerze 87 923 69 63	o o o o o o b-name o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go wiesław wojciechowski o numerze 32 280 17 68 jako stacjonarny	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go magdalena niedzielski o numerze +48 595 167 762 jako domowy	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go wanda podgórski o numerze 83 475 69 20 jako pracowy	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go ferdynand towarek o numerze 640 651 736 jako komórkowy	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go witold górski o numerze 67 211 34 47 jako stacjonarny	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go antonina o numerze 747 747 232 jako domowy	o o o o o o b-name o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go amadeusz kwiatkowski o numerze 33 409 55 20	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go dziadek kamil o numerze 792 664 410	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go filip hoffmann o numerze +48 599 895 990	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go anita niedzielski o numerze 562 268 103 jako pracowy	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go borys wyrzykowski o numerze 13 248 26 55 jako komórkowy	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go maksymilian chruszczewski o numerze 32 452 58 47 jako stacjonarny	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go wujek heniek o numerze 91 126 14 51 jako domowy	o o o o o o b-name i-name o o b-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go kamil i dodaj numer 46 404 66 69	o o o o o o b-name o o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go daria hoffmann i dodaj numer 566 196 469	o o o o o o b-name i-name o o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go rajmund i dodaj numer 16 491 60 42	o o o o o o b-name o o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go oliwia jankowski i dodaj numer 738 491 742	o o o o o o b-name i-name o o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go ernest wyrzykowski i dodaj numer 43 237 75 79	o o o o o o b-name i-name o o o b-phone_number i-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go izabela kłossowski i dodaj numer 662 256 732	o o o o o o b-name i-name o o o b-phone_number i-phone_number i-phone_number
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go alina grec i dodaj numer 751 105 505 jako pracowy	o o o o o o b-name i-name o o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go maria kłossowski i dodaj numer 764 599 795 jako komórkowy	o o o o o o b-name i-name o o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go oliwier i dodaj numer 700 192 832 jako stacjonarny	o o o o o o b-name o o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go paula kałuża i dodaj numer 798 429 127 jako domowy	o o o o o o b-name i-name o o o b-phone_number i-phone_number i-phone_number o b-phone_type
Contacts	ShowContactWithNameAndWithNumberAndWithType	utwórz nowy kontakt i nazwij go bożena krajewski i dodaj numer 85 699 80 16 jako pracowy	o o o o o o b-name i-name o o o b-phone_number i-phone_number i-phone_number i-phone_number o b-phone_type
